vendor_project,product,vulnerability_name,date_added,short_description,required_action,due_date,pub_date,cvss,cwe,vector,complexity,severity
0,92,4,2021-11-03,Accellion FTA 9_12_370 and earlier is affected by OS command execution via a crafted POST request to various admin endpoints.,Apply updates per vendor instructions.,2021-11-17,2021-02-16,9.8,CWE-78,NETWORK,LOW,0
0,92,4,2021-11-03,Accellion FTA 9_12_411 and earlier is affected by OS command execution via a local web service call.,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
0,92,5,2021-11-03,Accellion FTA 9_12_370 and earlier is affected by SQL injection via a crafted Host header in a request to document_root.html.,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
0,92,6,2021-11-03,Accellion FTA 9_12_411 and earlier is affected by SSRF via a crafted POST request to wmProgressstat.html.,Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
1,6,9,2021-11-03,"Acrobat Reader DC versions versions 2020.013.20074 (and earlier), 2020.001.30018 (and earlier) and 2017.011.30188 (and earlier) are affected by a heap-based buffer overflow vulnerability. An unauthenticated attacker could leverage this vulnerability to achieve arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.",Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
1,6,15,2021-11-03,"Acrobat Reader DC versions versions 2021.001.20150 (and earlier), 2020.001.30020 (and earlier) and 2017.011.30194 (and earlier) are affected by a Use After Free vulnerability. An unauthenticated attacker could leverage this vulnerability to achieve arbitrary code execution in the context of the current user. Exploitation of this issue requires user interaction in that a victim must open a malicious file.",Apply updates per vendor instructions.,2021-11-17,Unknown,0.0,Unknown,Unknown,Unknown,3
1,49,19,2021-11-03,"Adobe ColdFusion Update 5 and earlier versions, ColdFusion 11 Update 13 and earlier versions have an exploitable Deserialization of Untrusted Data vulnerability. Successful exploitation could lead to arbitrary code execution.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
1,49,22,2021-11-03,"Adobe ColdFusion versions July 12 release (2018.0.0.310739), Update 6 and earlier, and Update 14 and earlier have an unrestricted file upload vulnerability. Successful exploitation could lead to arbitrary code execution.",Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
1,101,36,2021-11-03,A use-after-free vulnerability was discovered in Adobe Flash Player before 28.0.0.161. This vulnerability occurs due to a dangling pointer in the Primetime SDK related to media player handling of listener objects. A successful attack can lead to arbitrary code execution. This was exploited in the wild in January and February 2018.,The impacted product is end-of-life and should be disconnected if still in use.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
3,37,47,2021-11-03,Amcrest cameras and NVR are vulnerable to a stack-based buffer overflow over port 37777. An authenticated remote attacker can abuse this issue to crash the device and possibly execute arbitrary code.,Apply updates per vendor instructions.,2022-05-03,Unknown,0.0,Unknown,Unknown,Unknown,3
